答主,评分,咨询次数,咨询单价,总金额,描述,详情
Wifs P,4.99,296,4800,1420800,前四大，现咨询公司董事&事务所合伙人，《财务演绎法》作者,www.zhihu.com/consult/people/723319637462224896
袁大岛,4.93,13303,500,6651500,情感纠葛、人生选择、道理分析以及事件解读有一定的处理经验。值乎推送有延迟，烦恼您耐心等待，谢谢理解！,www.zhihu.com/consult/people/726218954011328512
田吉顺,4.99,1909,12500,23862500,我是 田吉顺，略懂 妇产科。问吧！,www.zhihu.com/consult/people/723220436434817024
营养师何思,4.95,43,4900,210700,中国营养学会注册营养师，擅长减重/疾病饮食/生活习惯。曾供职汤臣倍健、薄荷健康，丁香园签约作者，丁香医生营养领域审稿人,www.zhihu.com/consult/people/723500857064185856
章伟忠,4.96,1784,100,178400,28年眼镜业从业经验。涉及配镜处方、镜架品牌、镜架尺寸、镜片品牌、镜片参数等专业问题，请直接询问微信服务号-启明眼镜。,www.zhihu.com/consult/people/723600489823875072
赵欣,4.99,394,800,315200,我是赵欣，略懂税务基础知识。,www.zhihu.com/consult/people/723266032596176896
曾加,4.97,162,3600,583200,清华本硕，数据分析师，就职于 Top Tier 互联网公司。略懂互联网、数据分析、数理竞赛、清华生活、围棋、魔方、剧本杀,www.zhihu.com/consult/people/723179669989376000
咖喱鸡,4.99,716,4900,3508400,南京鼓楼医院整形外科主治医生，懂整形，美容，也懂医学，医生。美容咨询请附高清素颜正侧面照片。,www.zhihu.com/consult/people/724569120422494208
求解,4.96,583,9900,5771700,浙江某中级人民法院法官，大学特邀讲师。解答各类法律问题，并给出建议。,www.zhihu.com/consult/people/723594673536389120
王赟 Maigo,4.97,260,800,208000,专业语音识别，业余研究语言。乐于分享学习经验，但不敢担当人生导师。,www.zhihu.com/consult/people/723836120999161856
视光师金鑫,4.99,989,3900,3857100,验光技师，略懂验光配镜、隐形眼镜，视疲劳、用眼不适、关于眼镜尤其是验光的问题可以来问我！,www.zhihu.com/consult/people/723194958432968704
Steve Shi,4.95,1438,14900,21426200,心理咨询师，心理学领域优秀答者，著有《假性亲密关系》。因工作忙碌有时会错过回答，提问如过期未答复麻烦再提。,www.zhihu.com/consult/people/723343323963604992
马力和知群,4.97,60,9900,594000,1.产品经理、设计师的入门、提高问题；2.转行、入行进入互联网行业的问题；3.职业发展和选择问题。,www.zhihu.com/consult/people/723190773910085632
夏安,4.99,2818,2500,7045000,感染科医生，医学博士。略懂艾滋。提问请避开min gan词，缩写代替。工作忙，回复略慢，可以私信提醒。,www.zhihu.com/consult/people/723587962356391936
徐斌,4.88,2555,28800,73584000,房产律师 秦兵律师事务所主任 秦兵房产律师团队执行合伙人,www.zhihu.com/consult/people/723591432215986176
马虫 医生,4.98,3814,12900,49200600,三甲医院泌尿科主治医生，医学博士，《一本书读懂前列腺》作者，熟悉早泄、阳痿、前列腺炎、尿频等泌尿男科，解答规范+情绪疏导,www.zhihu.com/consult/people/725111909719744512
阿源老师,4.96,201,2000,402000,前医生，现产品经理、新媒体运营，略懂医疗、考研、执考、住培、择业及网络行业。,www.zhihu.com/consult/people/723317861644263424
郭佳,5.0,16,500,8000,摇滚编年史；互联网行业分析。已从汽修连锁离职，我个人无法回答汽车相关问题了，以前都是靠店里技师回答的,www.zhihu.com/consult/people/723704727186980864
呆叔,4.96,354,2800,991200,HR，香港中文大学硕士，IT行当混迹十余年，面人无数，对面试和职业规划有些心得,www.zhihu.com/consult/people/723622555772022784
